VWFA,expand,3,0.05,8.79999971389771,112
LO,expand,2,0.01,13.9999995231628,130
LO,expand,3,0.05,11.3999996185303,115
VWFA,expand,4,0.1,13.9999995231628,117
LO,expand,1,0.001,8.79999971389771,168
LO,expand,2,0.01,13.9999995231628,143
VWFA,expand,1,0.001,11.3999996185303,144
LO,expand,1,0.001,8.79999971389771,109
LO,expand,1,0.001,8.79999971389771,126
VWFA,expand,1,0.001,8.79999971389771,124
LO,expand,1,0.001,11.3999996185303,142
LO,expand,1,0.001,11.3999996185303,175
VWFA,expand,3,0.05,8.79999971389771,113
LO,expand,1,0.001,8.79999971389771,118
LO,expand,1,0.001,11.3999996185303,118
VWFA,expand,3,0.05,13.9999995231628,114
LO,expand,1,0.001,11.3999996185303,188
LO,expand,1,0.001,11.3999996185303,173
